"팀 의견 전달자 발표러","전달","팀의 의견을 명확하게 전달하는 역할을 하는 사람"
"프레젠트 킹 리더","리더십","발표를 멋지게 이끄는 프레젠테이션 전문가"
"단합의 중심 학급리더","단합","학급 친구들을 모아 단합시키는 리더"
"믿음직한 신뢰러","신뢰","주변 사람들에게 신뢰감을 주는 사람"
"발상력 터지는 아이디어러","창의성","창의적이고 독창적인 발상을 만들어내는 사람"
"침착함 갑 안정러","침착","스트레스 상황에서도 침착함을 유지하는 사람"
"완벽 준비 준비왕","대비","철저히 준비하고 꼼꼼히 대비하는 사람"
"문제 대화로 푸는 솔버","대화","대화를 통해 문제를 해결하는 데 능한 사람"
"갈등 조율 협상왕","조율","협상과 갈등 해결의 달인"
"나눔에 진심 봉사러","나눔","나눔과 봉사를 실천하는 데 진심인 사람"
"영감 주는 롤모델러","영감","다른 사람들에게 긍정적인 영향을 주는 본보기"
"성장에 진심 업그레이더","성장","끊임없이 발전하고 새로운 목표를 세우는 사람"
"통찰력 있는 와이즈러","통찰","깊이 있는 통찰력으로 판단을 내리는 사람"
"긍정을 퍼뜨리는 해피러","긍정","긍정 에너지를 주위에 전파하는 사람"
"한계 뚫는 브레이커","극복","한계를 극복하고 더 높은 목표로 도전하는 사람"
"모범을 보이는 퍼펙트러","모범","행동과 태도로 다른 사람에게 모범을 보이는 사람"
"새 시각 제시하는 비전러","시각","새롭고 독창적인 관점을 제시하는 사람"
"용기 주는 부스터","용기","주변 사람들에게 용기를 북돋아 주는 에너지 메이커"
"성공을 향한 고랩러","성공","성공을 위해 끊임없이 노력하는 사람"
"끈기 만렙 인듀어러","인내","어려운 상황에서도 끈기를 발휘하는 사람"
"유쾌함 넘치는 긍정러","유쾌","밝고 긍정적인 태도로 분위기를 환기시키는 사람"
"배려하는 힐링메이트","배려","따뜻한 배려로 주변 사람을 돕는 친구"
"공감력 터지는 스피커","공감","타인의 감정을 이해하며 대화를 잘 이끄는 사람"
"명쾌한 논리러","명확성","명확하고 논리적인 사고와 설득력을 지닌 사람"
"변화 적응 갑 어댑터","적응","다양한 변화에 유연하게 적응하는 사람"
"성실 그 자체 열정러","성실","모든 일에 성실하게 최선을 다하는 사람"
"창의력 가득 머천트","창조","창의력을 바탕으로 다채로운 아이디어를 제안하는 사람"
"감성 터지는 인사이트러","감성","감정을 섬세히 이해하며 깊이 있는 통찰을 가진 사람"
"공감을 리드하는 힐러러","리드","사람들의 감정을 잘 이끌어내는 공감 전문가"
"따뜻한 마음의 케어러","따뜻함","주변 사람들을 배려하고 도와주는 따뜻한 사람"
"새 시도를 즐기는 트라이어","시도","새로운 것에 도전하며 즐기는 사람"
"탐험에 진심 탐험러","모험","세상의 다양함을 탐구하는 모험가"
"책임감 갑 액션러","책임감","맡은 역할을 책임감 있게 해내는 실행자"
"공정을 추구하는 저스티스러","공정","정의와 공정을 중시하는 균형감각의 소유자"
"도전에 몰입하는 챌린저","몰입","도전을 두려워하지 않고 몰입하는 사람"
"단합을 이끄는 퍼펙트리더","조화","모두를 조화롭게 이끄는 완벽한 리더"
"체계적 일처리 마스터러","체계","모든 일을 체계적으로 처리하는 능력자"
"기록 관리 철저 서기러","기록","학급의 기록을 정확히 관리하는 사람"
"완벽한 기획 디렉터","기획","이벤트와 활동을 성공적으로 기획하는 사람"
"끈기로 버티는 스트롱러","끈기","끈기와 인내로 어려움을 이겨내는 사람"
"꾸준히 나아가는 업글러","발전","꾸준히 발전하며 성장하는 사람"
"협력 중심의 팀메이커","팀워크","협력을 주도하며 팀워크를 만들어가는 사람"
"목표 달성의 피니셔","성취","목표를 끝까지 이루어내는 사람"
