law,query,expected_articles,returned_article,match,snippet,f1,human_verdict,action,future_effective,new_expected
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,,MISS,[미반환] 기대 조문: 제6조의2,0.444,,정답 유지,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,정보공개서 등록 의무 가맹본부 가맹사업법,제6조의2 / 제6조의3 / 제7조,,MISS,[미반환] 기대 조문: 제7조,0.444,,정답 유지,False,제5조의2 / 제6조의2 / 제6조의3 / 제7조
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.600,X,무관,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,제3조,,[제3조] 이하 같다) 5. 그 밖에 가맹본부에 귀속되지 않는 금전으로서 소비자가 제3의 기관에 지급하는 것을 가맹본부가 대행하는 것,0.600,O,정답에 추가,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,제43조,,[제43조] ⑧제1항부터 제7항까지의 규정에 따른 과태료는 대통령령으로 정하는 바에 따라 공정거래위원회가 부과ㆍ징수한 다.<신설 2007. 8. 3.> 가맹사업거래의 공정화에 관한 법률,0.600,O,정답에 추가,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,제5조의10,,"[제5조의10] ② 가맹본부는 가맹점사업자에게 별지 제5호서식의 가맹금예치신청서(이하 “예치신청서”라 한다)를 내주어야 하며, 가맹점사업자는 예치신청서와 함께 법 제6조의5제1항 본문에 따른 예치가맹금(이하 “예치가",0.600,O,정답에 추가,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,,MISS,[미반환] 기대 조문: 제10조,0.600,,정답 유지,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,,MISS,[미반환] 기대 조문: 제15조의2,0.600,,정답 유지,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,제10조 / 제6조의5 / 제15조의2,,MISS,[미반환] 기대 조문: 제6조의5,0.600,,정답 유지,False,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,제10조의4 / 제10조의5,제10조의4,정답,제10조의4(권리금 회수기회 보호 등),0.750,O,,False,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,제10조의4 / 제10조의5,제5조,,"[제5조] ① 임차인이 임차건물에 대하여 보증금반환청구소송의 확정판결, 그 밖에 이에 준하는 집행권원 에 의하여 경매를 신청하는 경우에는 「민사집행법」 제41조에도 불구하고 반대의무의 이행이나 이행의 제공을 집행 상",0.750,X,무관,False,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,제10조의4 / 제10조의5,제10조의3,,"제10조의3(권리금의 정의 등) ① 권리금이란 임대차 목적물인 상가건물에서 영업을 하는 자 또는 영업을 하려는 자가 영업시설ㆍ비품, 거래처, 신용, 영업상의 노하우, 상가건물의 위치에 따른 영업상의 이점 등 유형ㆍ무",0.750,O,정답에 추가,False,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,제10조의4 / 제10조의5,제10조의6,,제10조의6(표준권리금계약서의 작성 등) 국토교통부장관은 법무부장관과 협의를 거쳐 임차인과 신규임차인이 되려는 자의 권리금 계약 체결을 위한 표준권리금계약서를 정하여 그 사용을 권장할 수 있다. <개정 2020. 7,0.750,O,정답에 추가,False,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,제10조의4 / 제10조의5,,MISS,[미반환] 기대 조문: 제10조의5,0.750,,정답 유지,False,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,제6조,,제6조(우선변제를 받을 임차인의 범위) 법 제14조의 규정에 의하여 우선변제를 받을 임차인은 보증금과 차임이 있는 경우 법 제2조제2항의 규정에 의하여 환산한 금액의 합계가 다음 각호의 구분에 의한 금액 이하인 임차,0.727,O,정답에 추가,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,제7조,,제7조(우선변제를 받을 보증금의 범위 등),0.727,O,정답에 추가,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,제5조,,[제5조] ④ 제2항 또는 제7항에 따른 우선변제의 순위와 보증금에 대하여 이의가 있는 이해관계인은 경매법원 또는 체납처 분청에 이의를 신청할 수 있다.<개정 2013. 8. 13.>,0.727,X,무관,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,제10조의2,,"제10조의2(계약갱신의 특례) 제2조제1항 단서에 따른 보증금액을 초과하는 임대차의 계약갱신의 경우에는 당사자는 상가건물에 관한 조세, 공과금, 주변 상가건물의 차임 및 보증금, 그 밖의 부담이나 경제사정의 변동 등",0.727,O,정답에 추가,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,제2조,정답,"[제2조] ② 제1항 단서에 따른 보증금액을 정할 때에는 해당 지역의 경제 여건 및 임대차 목적물의 규모 등을 고려하여 지 역별로 구분하여 규정하되, 보증금 외에 차임이 있는 경우에는 그 차임액에 「은행법」에 따른",0.727,O,,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,,MISS,[미반환] 기대 조문: 제11조,0.727,,정답 유지,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
상가임대차보호법,환산보증금 차임 증감청구 보증금 보호,제2조 / 제11조 / 제12조,,MISS,[미반환] 기대 조문: 제12조,0.727,,정답 유지,False,제10조의2 / 제11조 / 제12조 / 제2조 / 제6조 / 제7조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,제5조의4,,제5조의4(식품등의 기준 및 규격 관리 기본계획 등의 수립ㆍ시행),0.667,X,무관,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,제59조,,제59조(위해식품등의 회수계획 및 절차 등),0.667,X,무관,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,제52조,,"[제52조] 즉석판매제조ㆍ가공업 및 같은 조 제3호에 따른 식품첨가물제조업 식품위생법 시행규칙 나. 영 제21조제5호가목의 식품소분업, 같은 호 나목의 유통전문판매업, 집단급식소 식품판매업 및 기타 식품판 매업 다.",0.667,O,정답에 추가,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,제41조,,[제41조] 전시설 등 완비증명서(영 제21조제8호다목의 단란주점영업 및 같은 호 라목의 유흥주점영업만 해당한다) 식품위생법 시행규칙,0.667,O,정답에 추가,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,제37조,정답,[제37조] ④ 제36조제1항 각 호에 따른 영업 중 대통령령으로 정하는 영업을 하려는 자는 대통령령으로 정하는 바에 따라 영 업 종류별 또는 영업소별로 식품의약품안전처장 또는 특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ,0.667,O,,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,영업신고 영업허가 절차 식품위생법,제37조 / 제36조,,MISS,[미반환] 기대 조문: 제36조,0.667,,정답 유지,False,제36조 / 제37조 / 제41조 / 제52조
식품위생법,위생교육 식품접객업 의무 식품위생법,제41조 / 제43조,제54조,,제54조(도서ㆍ벽지 등의 영업자 등에 대한 식품위생교육) ① 법 제41조제7항에 따라 식품위생교육을 실시하는 경우에 는 다음 각 호의 구분에 따른다. <개정 2020. 12. 31.> 1. 도서ㆍ벽지 등의 영업자 및,0.800,O,정답에 추가,False,제41조 / 제43조 / 제54조
식품위생법,위생교육 식품접객업 의무 식품위생법,제41조 / 제43조,제41조,정답,"[제41조] ⑥ 식품위생교육은 집합교육 또는 정보통신매체를 이용한 원격교육으로 실시한다. 다만, 제2항(제88조제3항에서 준 용하는 경우를 포함한다)에 따라 영업을 하려는 자가 미리 받아야 하는 식품위생교육은 집합교",0.800,O,,False,제41조 / 제43조 / 제54조
식품위생법,위생교육 식품접객업 의무 식품위생법,제41조 / 제43조,,MISS,[미반환] 기대 조문: 제43조,0.800,,정답 유지,False,제41조 / 제43조 / 제54조
식품위생법,시설기준 영업자 준수사항 식품위생법,제3조 / 제44조,제49조,,제49조(식품이력추적관리 등록기준 등),0.333,X,무관,False,제3조 / 제44조 / 제47조의2
식품위생법,시설기준 영업자 준수사항 식품위생법,제3조 / 제44조,제41조,,[제41조] 전시설 등 완비증명서(영 제21조제8호다목의 단란주점영업 및 같은 호 라목의 유흥주점영업만 해당한다) 식품위생법 시행규칙,0.333,X,무관,False,제3조 / 제44조 / 제47조의2
식품위생법,시설기준 영업자 준수사항 식품위생법,제3조 / 제44조,제47조의2,,"제47조의2(식품접객업소등의 위생등급 지정 등) ① 식품의약품안전처장, 시ㆍ도지사 또는 시장ㆍ군수ㆍ구청장은 식품 접객업소(공유주방에서 조리ㆍ판매하는 업소를 포함한다) 및 집단급식소(이하 이 조 및 제89조제3항에서",0.333,O,정답에 추가,False,제3조 / 제44조 / 제47조의2
식품위생법,시설기준 영업자 준수사항 식품위생법,제3조 / 제44조,,MISS,[미반환] 기대 조문: 제3조,0.333,,정답 유지,False,제3조 / 제44조 / 제47조의2
식품위생법,시설기준 영업자 준수사항 식품위생법,제3조 / 제44조,,MISS,[미반환] 기대 조문: 제44조,0.333,,정답 유지,False,제3조 / 제44조 / 제47조의2
건축법,건축물 용도변경 근린생활시설 건축법,제19조 / 제2조,제8조,,"제8조(리모델링에 대비한 특례 등) 리모델링이 쉬운 구조의 공동주택의 건축을 촉진하기 위하여 공동주택을 대통령령 으로 정하는 구조로 하여 건축허가를 신청하면 제56조,",0.333,X,무관,False,제19조 / 제2조
건축법,건축물 용도변경 근린생활시설 건축법,제19조 / 제2조,제11조,,[제11조] 는 지역에 건축하려는 건축물에 대하여 일부 공간에 거실을 설치하는 것이 부적합하다고 인정되는 경우,0.333,X,무관,False,제19조 / 제2조
건축법,건축물 용도변경 근린생활시설 건축법,제19조 / 제2조,제2조,정답,"높이가 120미터 이상인 건축물을 말한다. 20. “실내건축”이란 건축물의 실내를 안전하고 쾌적하며 효율적으로 사용하기 위하여 내부 공간을 칸막이로 구획하 거나 벽지, 천장재, 바닥재, 유리 등 대통령령으로 정하는",0.333,O,,False,제19조 / 제2조
건축법,건축물 용도변경 근린생활시설 건축법,제19조 / 제2조,제48조의3,,제48조의3(건축물의 내진능력 공개) ① 다음 각 호의 어느 하나에 해당하는 건축물을 건축하고자 하는 자는 제22조에 따른 사용승인을 받는 즉시 건축물이 지진 발생 시에 견딜 수 있는 능력(이하 “내진능력”이라 한다,0.333,X,무관,False,제19조 / 제2조
건축법,건축물 용도변경 근린생활시설 건축법,제19조 / 제2조,,MISS,[미반환] 기대 조문: 제19조,0.333,,정답 유지,False,제19조 / 제2조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,제22조,,제22조(건축물의 사용승인) ① 건축주가 제11조ㆍ,0.600,O,정답에 추가,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,제18조,,[제18조] ③ 국토교통부장관이나 시ㆍ도지사는 제1항이나 제2항에 따라 건축허가나 건축허가를 받은 건축물의 착공을 제한 하려는 경우에는 「토지이용규제 기본법」 제8조에 따라 주민의견을 청취한 후 건축위원회의 심의를,0.600,O,정답에 추가,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,제76조,,"진 것으로 본다.<신설 2017. 1. 17., 2017. 4. 18.> 건축법",0.600,X,무관,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,제89조,,"[제89조] ⑧ 위원의 제척ㆍ기피ㆍ회피 및 위원회의 운영, 조정 등의 거부와 중지 등 그 밖에 필요한 사항은 대통령령으로 정 한다.<신설 2014. 5. 28.> [제목개정 2014. 5. 28.] 건축법",0.600,X,무관,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,제10조,,[제10조] ① 제11조에 따른 건축허가 대상 건축물을 건축하려는 자는 건축허가를 신 청하기 전에 허가권자에게 그 건축물의 건축에 관한 다음 각 호의 사항에 대한 사전결정을 신청할 수 있다. <개정 2015. 5.,0.600,O,정답에 추가,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,,MISS,[미반환] 기대 조문: 제11조,0.600,,정답 유지,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
건축법,건축허가 건축신고 절차 건축법,제11조 / 제14조,,MISS,[미반환] 기대 조문: 제14조,0.600,,정답 유지,False,제10조 / 제11조 / 제14조 / 제18조 / 제22조
소방시설법,소방시설 설치 의무 기준 소방시설법,제12조 / 제13조,제12조,정답,제12조(특정소방대상물에 설치하는 소방시설의 관리 등),0.889,O,,False,제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 설치 의무 기준 소방시설법,제12조 / 제13조,제15조,,제15조(건설현장의 임시소방시설 설치 및 관리),0.889,O,정답에 추가,False,제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 설치 의무 기준 소방시설법,제12조 / 제13조,제13조,정답,"[제13조] ② 소방본부장이나 소방서장은 특정소방대상물에 설치하여야 하는 소방시설 가운데 기능과 성능이 유사한 스프링 클러설비, 물분무등소화설비, 비상경보설비 및 비상방송설비 등의 소방시설의 경우에는 대통령령으로 정",0.889,O,,False,제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 설치 의무 기준 소방시설법,제12조 / 제13조,제37조,,[제37조] ⑪ 제9항 및 제10항에 따른 형식승인의 방법 및 절차 등에 필요한 사항은 행정안전부령으로 정한다. 소방시설 설치 및 관리에 관한 법률,0.889,X,무관,False,제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 설치 의무 기준 소방시설법,제12조 / 제13조,제7조,,제7조(소방시설의 내진설계기준) 「지진ㆍ화산재해대책법」 제14조제1항 각 호의 시설 중 대통령령으로 정하는 특정소 방대상물에 대통령령으로 정하는 소방시설을 설치하려는 자는 지진이 발생할 경우 소방시설이 정상적으로 작,0.889,O,정답에 추가,False,제12조 / 제13조 / 제15조 / 제7조
소방시설법,소방시설 자체점검 정기점검 소방시설법,제22조 / 제23조,제12조,,제12조(특정소방대상물에 설치하는 소방시설의 관리 등),0.500,X,무관,False,제22조 / 제23조
소방시설법,소방시설 자체점검 정기점검 소방시설법,제22조 / 제23조,제22조,정답,제22조(소방시설등의 자체점검) ① 특정소방대상물의 관계인은 그 대상물에 설치되어 있는 소방시설등이 이 법이나 이 법에 따른 명령 등에 적합하게 설치ㆍ관리되고 있는지에 대하여 다음 각 호의 구분에 따른 기간 내에 스,0.500,O,,False,제22조 / 제23조
소방시설법,소방시설 자체점검 정기점검 소방시설법,제22조 / 제23조,,MISS,[미반환] 기대 조문: 제23조,0.500,,정답 유지,False,제22조 / 제23조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,제63조,,"제63조 적용제외, 특례업종) 044-202-7530 고용노동부 (임금근로시간정책과 - 유연근로시간제) 044-202-7549 제1장 총칙",0.286,X,무관,False,제17조 / 제2조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,제37조,,제37조(미지급 임금에 대한 지연이자),0.286,X,무관,False,제17조 / 제2조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,제26조,,[제26조] ③ 제2항에 따라 출입ㆍ검사를 하는 노동감독관은 그 신분을 표시하는 증표를 지니고 이를 관계인에게 내보여야 한 다.<개정 2026. 4. 7.> 최저임금법,0.286,X,무관,False,제17조 / 제2조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,제17조,정답,제17조(근로조건의 명시) ① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로 계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010. 5. 25.>,0.286,O,,False,제17조 / 제2조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,제27조,,제27조(해고사유 등의 서면통지) ① 사용자는 근로자를 해고하려면 해고사유와 해고시기를 서면으로 통지하여야 한다. ② 근로자에 대한 해고는 제1항에 따라 서면으로 통지하여야 효력이 있다. ③ 사용자가 제26조에 따른,0.286,X,무관,False,제17조 / 제2조
근로기준법,근로계약서 서면 명시 의무 근로기준법,제17조 / 제2조,,MISS,[미반환] 기대 조문: 제2조,0.286,,정답 유지,False,제17조 / 제2조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,제43조 / 제56조,제95조,,"제95조(제재 규정의 제한) 취업규칙에서 근로자에 대하여 감급(減給)의 제재를 정할 경우에 그 감액은 1회의 금액이 평 균임금의 1일분의 2분의 1을, 총액이 1임금지급기의 임금 총액의 10분의 1을 초과하지 못한다",0.750,O,정답에 추가,False,제43조 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,제43조 / 제56조,제6조,,"[제6조] ③ 최저임금의 적용을 받는 근로자와 사용자 사이의 근로계약 중 최저임금액에 미치지 못하는 금액을 임금으로 정 한 부분은 무효로 하며, 이 경우 무효로 된 부분은 이 법으로 정한 최저임금액과 동일한 임금을",0.750,O,정답에 추가,False,제43조 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,제43조 / 제56조,제8조,,"[제8조] ① 고용노동부장관은 매년 8월 5일까지 최저임금을 결정하여야 한다. 이 경우 고용노동부장관 은 대통령령으로 정하는 바에 따라 제12조에 따른 최저임금위원회(이하 “위원회”라 한다)에 심의를 요청하고, 위원",0.750,O,정답에 추가,False,제43조 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,제43조 / 제56조,,MISS,[미반환] 기대 조문: 제43조,0.750,,정답 유지,False,제43조 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,임금 지급 최저임금 주휴수당 가산임금 근로기준법,제43조 / 제56조,,MISS,[미반환] 기대 조문: 제56조,0.750,,정답 유지,False,제43조 / 제56조 / 제6조 / 제8조 / 제95조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,제57조,,"제57조(보상 휴가제) 사용자는 근로자대표와의 서면 합의에 따라 제51조의3, 제52조제2항제2호 및 제56조에 따른 연장 근로ㆍ야간근로 및 휴일근로 등에 대하여 임금을 지급하는 것을 갈음하여 휴가를 줄 수 있다.",0.800,O,정답에 추가,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,제51조,,"[제51조] ⑤ 고용노동부장관은 제4항에 따른 근로시간의 연장이 부적당하다고 인정하면 그 후 연장시간에 상당하는 휴게시 간이나 휴일을 줄 것을 명할 수 있다.<개정 2010. 6. 4., 2018. 3. 20.>",0.800,O,정답에 추가,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,제60조,,[제60조] ⑦ 제1항ㆍ제2항 및 제4항에 따른 휴가는 1년간(계속하여 근로한 기간이 1년 미만인 근로자의 제2항에 따른 유급 휴가는 최초 1년의 근로가 끝날 때까지의 기간을 말한다) 행사하지 아니하면 소멸된다. 다,0.800,O,정답에 추가,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,제54조,정답,"제54조(휴게) ① 사용자는 근로시간이 4시간인 경우에는 30분 이상, 8시간인 경우에는 1시간 이상의 휴게시간을 근로 시간 도중에 주어야 한다. ② 휴게시간은 근로자가 자유롭게 이용할 수 있다.",0.800,O,,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,,MISS,[미반환] 기대 조문: 제50조,0.800,,정답 유지,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,제50조 / 제54조 / 제55조,,MISS,[미반환] 기대 조문: 제55조,0.800,,정답 유지,False,제50조 / 제51조 / 제54조 / 제55조 / 제57조 / 제60조
부가가치세법,사업자등록 신청 절차 부가가치세법,제8조,제53조,,제53조(국외사업자의 용역등 공급에 관한 특례) ① 국외사업자가 제8조에 따른 사업자등록의 대상으로서 다음 각 호의 어느 하나에 해당하는 자(이하 “위탁매매인등”이라 한다)를 통하여 국내에서 용역등을 공급하는 경우에,0.667,X,무관,False,제6조 / 제8조
부가가치세법,사업자등록 신청 절차 부가가치세법,제8조,제48조,,"대통령령으로 정 하는 경우에는 신탁재산의 공급으로 보지 아니한다.<신설 2021. 12. 8.> ⑨ 다음 각 호의 어느 하나에 해당하는 것은 재화의 공급으로 보지 아니한다.<개정 2014. 1. 1., 2017. 1",0.667,X,무관,False,제6조 / 제8조
부가가치세법,사업자등록 신청 절차 부가가치세법,제8조,제6조,,[제6조] ⑥ 재화를 수입하는 자의 부가가치세 납세지는 「관세법」에 따라 수입을 신고하는 세관의 소재지로 한다.,0.667,O,정답에 추가,False,제6조 / 제8조
부가가치세법,사업자등록 신청 절차 부가가치세법,제8조,제8조,정답,"[제8조] ① 사업자는 사업장마다 대통령령으로 정하는 바에 따라 사업 개시일부터 20일 이내에 사업장 관할 세무서장에게 사업자등록을 신청하여야 한다. 다만, 신규로 사업을 시작하려는 자는 사업 개시일 이전이라도 사업",0.667,O,,False,제6조 / 제8조
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,제37조,,"제37조 및 제63조에도 불구하고 납부세액에서 이 법 및 다른 법률에서 규정하고 있는 부가가치세의 감면세액 및 공제세액을 빼고 가산세를 더한 세액의 1천분의 747을 부가가치세로, 1천 분의 253을 지방소비세로 한",0.667,X,무관,False,제32조 / 제33조 / 제34조 / 제39조
부가가치세법,세금계산서 발급 의무 부가가치세법,제32조 / 제34조,제39조,,제39조 에 따라 공제되지 아니하는 매입세액은 그러하지 아니하다.<개정 2020. 12. 22.> 1. 해당 과세기간에 세금계산서등을 발급받은 재화와 용역의 공급대가에 0.5퍼센트를 곱한 금액 2. 삭제<2020.,0.667,O,정답에 추가,False,제32조 / 제33조 / 제34조 / 제39조
