No.,구분 (Class),세부 의도 (Category),사용자 발화 (Utterance),[GT] 정답,[M1] Flash 예측,[M1] 속도(ms),[M1] 판정,[M2] KcElec 예측,[M2] 속도(ms),[M2] 판정,[M3] Pro 예측,[M3] 속도(ms),[M3] 판정,비고 (Notes)
77,처리 불가,무의미,어? 아? 음...,N,N,718,O,N,1041,O,N,4639,O,
78,처리 불가,호통,야!,N,N,718,O,N,1072,O,N,5802,O,
79,처리 불가,타사 비교,쿠팡에서 이거 더 싸게 팔던데.,N,N,622,O,N,1088,O,N,6643,O,
80,처리 불가,타사/무관,로또 번호 좀 찍어줘.,N,N,622,O,Y,1116,X,N,3977,O,
81,처리 불가,일상 대화,나 머리 잘랐는데 어때?,N,N,627,O,Y,1134,X,N,5763,O,
82,처리 불가,타사/무관,편의점에서 담배 팔아?,N,N,627,O,N,1104,O,N,4942,O,
83,처리 불가,길찾기/무관,여기서 서울역 가는 길 알려줘.,N,N,633,O,Y,973,X,N,5200,O,
84,처리 불가,욕설/비속어,미친 거 아니야?,N,N,620,O,N,921,O,N,6065,O,
85,처리 불가,일상 대화,공부하기 싫다.,N,N,743,O,Y,971,X,N,5191,O,
86,처리 불가,일상 대화,너 주인 누구야?,N,N,650,O,N,1090,O,N,4709,O,
87,처리 불가,타사/무관,삼성전자 주가 전망 알려줘.,N,N,749,O,N,1069,O,N,4244,O,
88,처리 불가,타사/무관,축구 경기 결과 어떻게 됐어?,N,N,633,O,Y,1110,X,N,5104,O,
89,처리 불가,일상 대화,나랑 결혼할래?,N,N,753,O,Y,1190,X,N,5032,O,
90,처리 불가,단순 불만,화장실 더러워서 못 쓰겠네.,N,Y,742,X,Y,1245,X,Y,7596,X,
91,처리 불가,일상/신변,아 배 아파.,N,N,639,O,Y,1162,X,N,6555,O,
92,처리 불가,호출(내용없음),저기요.,N,N,739,O,Y,1201,X,Y,4548,X,
93,처리 불가,무의미/소음,으아아아아악!,N,N,646,O,N,1239,O,N,5030,O,
94,처리 불가,타사/무관,맥도날드 햄버거 가격 알려줘.,N,N,638,O,Y,1261,X,N,4293,O,
95,처리 불가,일상 대화,너 전기로 돌아가?,N,N,639,O,N,1263,O,N,5572,O,
96,처리 불가,명령/비속어,시끄러워 조용히 해.,N,N,749,O,Y,1190,X,N,5119,O,
97,처리 불가,타사/무관,방탄 지민 생일이 언제야?,N,N,651,O,Y,1199,X,N,4525,O,
98,처리 불가,시설/무관(정책따라다름),여기 와이파이 비번 뭐야?,N,Y,736,X,Y,1185,X,Y,5190,X,
99,처리 불가,단순 불만,쓰레기통이 꽉 찼네 더러워 죽겠어.,N,N,726,O,Y,1226,X,N,7011,O,
100,처리 불가,무음/공백,,N,,,,,,Error,,,,
