id	raw_text	intent_text	expected_doc_ids	expected_category	needs_clarification	notes
TC-083	자동차매트 추천해줘	자동차매트	P-10045	car_mat	false	tag=synonym
TC-084	섬유유연제 추천해줘	섬유유연제	P-10222	fabric_softener	false	tag=synonym
TC-085	현관매트 추천해줘	현관매트	P-10025	entry_mat	false	tag=synonym
TC-086	가습기 추천해줘	가습기	P-10125	humidifier	false	tag=synonym
TC-087	티백 추천해줘	티백	P-10260	tea_bag	false	tag=synonym
TC-088	규조토매트 추천해줘	규조토매트	P-10009	bathroom_mat	false	tag=synonym
TC-089	공기청정기 추천 추천해줘	공기청정기 추천	P-10145	air_purifier	false	tag=synonym
TC-090	칫솔 있어요? 추천해줘	칫솔 있어요?	P-10204	toothbrush	false	tag=synonym
TC-091	샴푸 추천해줘	샴푸	P-10164	shampoo	false	tag=synonym
TC-092	규조토매트 추천해줘	규조토매트	P-10007	bathroom_mat	false	tag=synonym
TC-093	요가매트 추천해줘	요가매트	P-10011	yoga_mat	false	tag=synonym
TC-094	마스크 추천해줘	마스크	P-10157	face_mask	false	tag=synonym
TC-095	청소장갑 있어요? 추천해줘	청소장갑 있어요?	P-10084	cleaning_glove	false	tag=synonym
TC-096	고속충전기 추천해줘	고속충전기	P-10296	charger	false	tag=synonym
TC-097	마스크 추천 추천해줘	마스크 추천	P-10151	face_mask	false	tag=synonym
TC-098	섬유유연제 추천 추천해줘	섬유유연제 추천	P-10227	fabric_softener	false	tag=synonym
TC-099	세탁세제 추천해줘	세탁세제	P-10217	laundry_detergent	false	tag=synonym
TC-100	욕실 매트 추천해줘	욕실 매트	P-10005	bathroom_mat	false	tag=synonym
TC-101	실내 슬리퍼 뭐가 좋아?	실내 슬리퍼	P-10068	slipper	false	tag=purpose
TC-102	세척력 수세미 뭐가 좋아?	세척력 수세미	P-10094	dish_sponge	false	tag=purpose
TC-103	미세먼지 공기청정기 뭐가 좋아?	미세먼지 공기청정기	P-10144	air_purifier	false	tag=purpose
TC-104	네스프레소 커피캡슐 뭐가 좋아?	네스프레소 커피캡슐	P-10245	coffee_capsule	false	tag=purpose
TC-105	잇몸 치약 뭐가 좋아?	잇몸 치약	P-10198	toothpaste	false	tag=purpose
TC-106	대형 수건 뭐가 좋아?	대형 수건	P-10054	towel	false	tag=purpose
TC-107	로봇 청소기 뭐가 좋아?	로봇 청소기	P-10131	vacuum	false	tag=purpose
TC-108	차량 차량 매트 뭐가 좋아?	차량 차량 매트	P-10047	car_mat	false	tag=purpose
TC-109	쿠션 슬리퍼 뭐가 좋아?	쿠션 슬리퍼	P-10061	slipper	false	tag=purpose
TC-110	차량 차량 매트 뭐가 좋아?	차량 차량 매트	P-10047	car_mat	false	tag=purpose
TC-111	정전기 섬유유연제 뭐가 좋아?	정전기 섬유유연제	P-10221	fabric_softener	false	tag=purpose
TC-112	대용량 가습기 뭐가 좋아?	대용량 가습기	P-10128	humidifier	false	tag=purpose
TC-113	정수 정수필터 뭐가 좋아?	정수 정수필터	P-10232	water_filter	false	tag=purpose
TC-114	멀티포트 충전기 뭐가 좋아?	멀티포트 충전기	P-10293	charger	false	tag=purpose
TC-115	쿠션 슬리퍼 뭐가 좋아?	쿠션 슬리퍼	P-10063	slipper	false	tag=purpose
TC-116	정수 정수필터 뭐가 좋아?	정수 정수필터	P-10238	water_filter	false	tag=purpose
TC-117	수세미 수세미 뭐가 좋아?	수세미 수세미	P-10097	dish_sponge	false	tag=purpose
TC-118	분리수거 쓰레기봉투 뭐가 좋아?	분리수거 쓰레기봉투	P-10108	trash_bag	false	tag=purpose
TC-119	발피로 주방 매트 뭐가 좋아?	발피로 주방 매트	P-10031	kitchen_mat	false	tag=purpose
TC-120	긴팔 청소장갑 뭐가 좋아?	긴팔 청소장갑	P-10082	cleaning_glove	false	tag=purpose
TC-121	로봇 청소기 뭐가 좋아?	로봇 청소기	P-10132	vacuum	false	tag=purpose
TC-122	디카페인 커피캡슐 뭐가 좋아?	디카페인 커피캡슐	P-10244	coffee_capsule	false	tag=purpose
TC-123	차량용 방향제 뭐가 좋아?	차량용 방향제	P-10115	air_freshener	false	tag=purpose
TC-124	논슬립 현관 매트 뭐가 좋아?	논슬립 현관 매트	P-10021	entry_mat	false	tag=purpose
TC-125	쿠션 슬리퍼 뭐가 좋아?	쿠션 슬리퍼	P-10066	slipper	false	tag=purpose
TC-126	고속 충전기 뭐가 좋아?	고속 충전기	P-10298	charger	false	tag=purpose
TC-127	냄새차단 쓰레기봉투 뭐가 좋아?	냄새차단 쓰레기봉투	P-10106	trash_bag	false	tag=purpose
TC-128	물빠짐 욕실 매트 뭐가 좋아?	물빠짐 욕실 매트	P-10007	bathroom_mat	false	tag=purpose
TC-129	홍차 티백 뭐가 좋아?	홍차 티백	P-10257	tea_bag	false	tag=purpose
TC-130	무드등 가습기 뭐가 좋아?	무드등 가습기	P-10121	humidifier	false	tag=purpose
TC-131	발매트 현관 매트 뭐가 좋아?	발매트 현관 매트	P-10021	entry_mat	false	tag=purpose
TC-132	쿠션 슬리퍼 뭐가 좋아?	쿠션 슬리퍼	P-10062	slipper	false	tag=purpose
TC-133	튼튼 쓰레기봉투 뭐가 좋아?	튼튼 쓰레기봉투	P-10106	trash_bag	false	tag=purpose
TC-134	대형 쓰레기봉투 뭐가 좋아?	대형 쓰레기봉투	P-10110	trash_bag	false	tag=purpose
TC-135	긴팔 청소장갑 뭐가 좋아?	긴팔 청소장갑	P-10086	cleaning_glove	false	tag=purpose
TC-136	스크래치방지 수세미 뭐가 좋아?	스크래치방지 수세미	P-10091	dish_sponge	false	tag=purpose
TC-137	PD 충전기 뭐가 좋아?	PD 충전기	P-10292	charger	false	tag=purpose
TC-138	저당 스낵바 뭐가 좋아?	저당 스낵바	P-10264	snack_bar	false	tag=purpose
TC-139	숨쉬기편함 마스크 뭐가 좋아?	숨쉬기편함 마스크	P-10158	face_mask	false	tag=purpose
TC-140	무카페인 티백 뭐가 좋아?	무카페인 티백	P-10255	tea_bag	false	tag=purpose
TC-141	고단백 스낵바 뭐가 좋아?	고단백 스낵바	P-10268	snack_bar	false	tag=purpose
TC-142	고속 충전기 뭐가 좋아?	고속 충전기	P-10298	charger	false	tag=purpose
TC-143	물빠짐 욕실 매트 뭐가 좋아?	물빠짐 욕실 매트	P-10005	bathroom_mat	false	tag=purpose
TC-144	불소 치약 뭐가 좋아?	불소 치약	P-10194	toothpaste	false	tag=purpose
TC-145	무맛 단백질 파우더 뭐가 좋아?	무맛 단백질 파우더	P-10276	protein_powder	false	tag=purpose
TC-146	탈취 방향제 뭐가 좋아?	탈취 방향제	P-10120	air_freshener	false	tag=purpose
TC-147	약산성 샴푸 뭐가 좋아?	약산성 샴푸	P-10164	shampoo	false	tag=purpose
TC-148	호환 커피캡슐 뭐가 좋아?	호환 커피캡슐	P-10243	coffee_capsule	false	tag=purpose
TC-149	무선 청소기 뭐가 좋아?	무선 청소기	P-10132	vacuum	false	tag=purpose
TC-150	귀편함 마스크 뭐가 좋아?	귀편함 마스크	P-10159	face_mask	false	tag=purpose
TC-151	좋은거	좋은거			true	tag=noise
TC-152	아무거나 추천	아무거나 추천			true	tag=noise
TC-153	어디있어	어디있어			true	tag=noise
TC-154	그거 있어?	그거 있어?			true	tag=noise
TC-155	그거 있어?	그거 있어?			true	tag=noise
TC-156	좋은거	좋은거			true	tag=noise
TC-157	이거 뭐임	이거 뭐임			true	tag=noise
TC-158	그거 있어?	그거 있어?			true	tag=noise
TC-159	아무거나 추천	아무거나 추천			true	tag=noise
TC-160	그거 있어?	그거 있어?			true	tag=noise
TC-161	어디있어	어디있어			true	tag=noise
TC-162	어디있어	어디있어			true	tag=noise
TC-163	어디있어	어디있어			true	tag=noise
TC-164	아무거나 추천	아무거나 추천			true	tag=noise
TC-165	아무거나 추천	아무거나 추천			true	tag=noise
TC-166	아무거나 추천	아무거나 추천			true	tag=noise
TC-167	어디있어	어디있어			true	tag=noise
TC-168	어디있어	어디있어			true	tag=noise
TC-169	이거 뭐임	이거 뭐임			true	tag=noise
TC-170	아무거나 추천	아무거나 추천			true	tag=noise
TC-171	정수필터 말고 비슷한 거	정수필터	P-10239	water_filter	false	tag=confusion
TC-172	세탁세제 말고 비슷한 거	세탁세제	P-10212	laundry_detergent	false	tag=confusion
TC-173	수세미 같은 거	수세미			true	tag=confusion
TC-174	청소장갑 같은 거	청소장갑			true	tag=confusion
TC-175	청소장갑 같은 거	청소장갑			true	tag=confusion
TC-176	수건 같은 거	수건			true	tag=confusion
TC-177	수세미 같은 거	수세미			true	tag=confusion
TC-178	매트 추천해줘	매트			true	tag=confusion
TC-179	샤워커튼 말고 비슷한 거	샤워커튼	P-10079	shower_curtain	false	tag=confusion
TC-180	칫솔 말고 비슷한 거	칫솔	P-10202	toothbrush	false	tag=confusion
TC-181	매트 추천해줘	매트			true	tag=confusion
TC-182	휴대폰 케이스 말고 비슷한 거	휴대폰 케이스	P-10284	phone_case	false	tag=confusion
TC-183	충전기 같은 거	충전기			true	tag=confusion
TC-184	수세미 같은 거	수세미			true	tag=confusion
TC-185	슬리퍼 말고 비슷한 거	슬리퍼	P-10070	slipper	false	tag=confusion
TC-186	바디워시 말고 비슷한 거	바디워시	P-10184	body_wash	false	tag=confusion
TC-187	방향제 말고 비슷한 거	방향제	P-10119	air_freshener	false	tag=confusion
TC-188	공기청정기 같은 거	공기청정기			true	tag=confusion
TC-189	커피캡슐 같은 거	커피캡슐			true	tag=confusion
TC-190	치약 같은 거	치약			true	tag=confusion
TC-191	매트 추천해줘	매트			true	tag=confusion
TC-192	요가 매트 말고 다른 매트도 있어?	매트	P-10014	yoga_mat	false	tag=confusion
TC-193	요가 매트 말고 다른 매트도 있어?	매트	P-10020	yoga_mat	false	tag=confusion
TC-194	충전기 말고 비슷한 거	충전기	P-10294	charger	false	tag=confusion
TC-195	스낵바 같은 거	스낵바			true	tag=confusion
TC-196	방향제 말고 비슷한 거	방향제	P-10113	air_freshener	false	tag=confusion
TC-197	매트 추천해줘	매트			true	tag=confusion
TC-198	마스크 같은 거	마스크			true	tag=confusion
TC-199	청소기 말고 비슷한 거	청소기	P-10132	vacuum	false	tag=confusion
TC-200	세탁세제 같은 거	세탁세제			true	tag=confusion
