doc_id	title	text	category
doc_0020	줄자 (B)	줄자 상품입니다. 관련 키워드: 줄자 측정 도구 DIY 측정 도구. 고객 질문 예시: 줄자는 공구 쪽에 있나요, 문구 쪽에 있나요?.	공구/DIY
doc_0021	싱크대 물튐 방지 (A)	싱크대 물튐 방지 상품입니다. 관련 키워드: 싱크대 물튐 방지 싱크대 물튐 방지 주방용품 생활용품 방수 물막이. 고객 질문 예시: 싱크대 물 안 튀게 막아주는 거 있어요?.	주방/식기
doc_0022	싱크대 물튐 방지 (B)	싱크대 물튐 방지 상품입니다. 관련 키워드: 싱크대 물튐 방지 싱크대 물튐 방지 주방용품 생활용품 방수 물막이. 고객 질문 예시: 싱크대 물 안 튀게 막아주는 거 있어요?.	주방/식기
doc_0023	의자 다리 커버 (A)	의자 다리 커버 상품입니다. 관련 키워드: 의자 다리 커버 의자 다리 커버 커버 가구 생활용품 소음방지 긁힘방지. 고객 질문 예시: 의자 끌 때 소리 안 나게 끼우는 거 찾는데요..	공구/DIY
doc_0024	의자 다리 커버 (B)	의자 다리 커버 상품입니다. 관련 키워드: 의자 다리 커버 의자 다리 커버 커버 가구 생활용품 소음방지 긁힘방지. 고객 질문 예시: 의자 끌 때 소리 안 나게 끼우는 거 찾는데요..	공구/DIY
doc_0025	문풍지 (A)	문풍지 상품입니다. 관련 키워드: 문풍지 창문 바람막이 단열재 생활용품. 고객 질문 예시: 새로 이사했는데 문틈으로 바람 들어오는 거 막는 스펀지 같은 거요..	공구/DIY
doc_0026	문풍지 (B)	문풍지 상품입니다. 관련 키워드: 문풍지 창문 바람막이 단열재 생활용품. 고객 질문 예시: 새로 이사했는데 문틈으로 바람 들어오는 거 막는 스펀지 같은 거요..	공구/DIY
doc_0027	곰팡이 제거 젤 (A)	곰팡이 제거 젤 상품입니다. 관련 키워드: 곰팡이 제거 젤 곰팡이 제거 젤 청소용품 욕실 주방 다용도 곰팡이 방지. 고객 질문 예시: 화장실 타일 사이에 낀 곰팡이 없애는 젤 있나요?.	욕실/청소
doc_0028	곰팡이 제거 젤 (B)	곰팡이 제거 젤 상품입니다. 관련 키워드: 곰팡이 제거 젤 곰팡이 제거 젤 청소용품 욕실 주방 다용도 곰팡이 방지. 고객 질문 예시: 화장실 타일 사이에 낀 곰팡이 없애는 젤 있나요?.	욕실/청소
doc_0029	보풀 제거기 (A)	보풀 제거기 상품입니다. 관련 키워드: 보풀 제거기 옷 제거기 세탁용품 보풀제거. 고객 질문 예시: 그... 옷에 핀 보풀 제거하는 기계 있어요?.	기타
doc_0030	보풀 제거기 (B)	보풀 제거기 상품입니다. 관련 키워드: 보풀 제거기 옷 제거기 세탁용품 보풀제거. 고객 질문 예시: 그... 옷에 핀 보풀 제거하는 기계 있어요?.	기타
doc_0031	탈취제 (A)	탈취제 상품입니다. 관련 키워드: 탈취제 냄새 제거제 방향제 생활용품 탈취 냄새 제거. 고객 질문 예시: 신발장 냄새 제거하는 탈취제 같은 거 어디 봐요?.	욕실/청소
doc_0032	탈취제 (B)	탈취제 상품입니다. 관련 키워드: 탈취제 냄새 제거제 방향제 생활용품 탈취 냄새 제거. 고객 질문 예시: 신발장 냄새 제거하는 탈취제 같은 거 어디 봐요?.	욕실/청소
doc_0033	액자 끈끈이 (A)	액자 끈끈이 상품입니다. 관련 키워드: 액자 끈끈이 액자 끈끈이 인테리어 접착 고정. 고객 질문 예시: 벽에 못 안 박고 액자 걸 수 있는 끈끈이 있어요?.	공구/DIY
doc_0034	액자 끈끈이 (B)	액자 끈끈이 상품입니다. 관련 키워드: 액자 끈끈이 액자 끈끈이 인테리어 접착 고정. 고객 질문 예시: 벽에 못 안 박고 액자 걸 수 있는 끈끈이 있어요?.	공구/DIY
doc_0035	공병 (A)	공병 상품입니다. 관련 키워드: 공병 병 생활용품 다용도. 고객 질문 예시: 여행 가는데 화장품 덜어갈 작은 공병들 모아둔 곳이요..	기타
doc_0036	공병 (B)	공병 상품입니다. 관련 키워드: 공병 병 생활용품 다용도. 고객 질문 예시: 여행 가는데 화장품 덜어갈 작은 공병들 모아둔 곳이요..	기타
doc_0037	방충망 스티커 (A)	방충망 스티커 상품입니다. 관련 키워드: 방충망 스티커 방충망 스티커 생활용품 방충 보수. 고객 질문 예시: 방충망에 구멍 났는데 그거 때우는 스티커 있나요?.	공구/DIY
doc_0038	방충망 스티커 (B)	방충망 스티커 상품입니다. 관련 키워드: 방충망 스티커 방충망 스티커 생활용품 방충 보수. 고객 질문 예시: 방충망에 구멍 났는데 그거 때우는 스티커 있나요?.	공구/DIY
doc_0039	먼지 제거 젤리 (A)	먼지 제거 젤리 상품입니다. 관련 키워드: 먼지 제거 젤리 먼지 제거 젤리 청소용품 먼지 제거. 고객 질문 예시: 키보드 사이에 먼지 빼는 젤리 같은 거 찾고 있어요?.	욕실/청소
doc_0040	먼지 제거 젤리 (B)	먼지 제거 젤리 상품입니다. 관련 키워드: 먼지 제거 젤리 먼지 제거 젤리 청소용품 먼지 제거. 고객 질문 예시: 키보드 사이에 먼지 빼는 젤리 같은 거 찾고 있어요?.	욕실/청소
doc_0041	매직블럭 (A)	매직블럭 상품입니다. 관련 키워드: 매직블럭 청소 청소용품 다용도 얼룩제거. 고객 질문 예시: 매직블럭(매직스펀지) 큰 거는 없어요?.	욕실/청소
doc_0042	매직블럭 (B)	매직블럭 상품입니다. 관련 키워드: 매직블럭 청소 청소용품 다용도 얼룩제거. 고객 질문 예시: 매직블럭(매직스펀지) 큰 거는 없어요?.	욕실/청소
doc_0043	배수구 거름망 (A)	배수구 거름망 상품입니다. 관련 키워드: 배수구 거름망 배수구 거름망 주방용품 배수구 청소 필터. 고객 질문 예시: 배수구 거름망 스타킹처럼 된 거요..	주방/식기
doc_0044	배수구 거름망 (B)	배수구 거름망 상품입니다. 관련 키워드: 배수구 거름망 배수구 거름망 주방용품 배수구 청소 필터. 고객 질문 예시: 배수구 거름망 스타킹처럼 된 거요..	주방/식기
doc_0045	종이 호일 (A)	종이 호일 상품입니다. 관련 키워드: 종이 호일 주방 호일 주방용품 쿠킹호일. 고객 질문 예시: 에어프라이어에 까는 종이 호일 어디 있죠?.	주방/식기
doc_0046	종이 호일 (B)	종이 호일 상품입니다. 관련 키워드: 종이 호일 주방 호일 주방용품 쿠킹호일. 고객 질문 예시: 에어프라이어에 까는 종이 호일 어디 있죠?.	주방/식기
doc_0047	고무장갑 (A)	고무장갑 상품입니다. 관련 키워드: 고무장갑 주방 장갑 주방용품 청소용품 설거지. 고객 질문 예시: 고무장갑 M사이즈는 어디에 걸려 있나요?.	욕실/청소
doc_0048	고무장갑 (B)	고무장갑 상품입니다. 관련 키워드: 고무장갑 주방 장갑 주방용품 청소용품 설거지. 고객 질문 예시: 고무장갑 M사이즈는 어디에 걸려 있나요?.	욕실/청소
doc_0049	밀폐용기 (A)	밀폐용기 상품입니다. 관련 키워드: 밀폐용기 주방 용기 주방용품 밀폐. 고객 질문 예시: 밀폐용기 중에 유리로 된 것만 모아둔 곳 있어요?.	주방/식기
doc_0050	밀폐용기 (B)	밀폐용기 상품입니다. 관련 키워드: 밀폐용기 주방 용기 주방용품 밀폐. 고객 질문 예시: 밀폐용기 중에 유리로 된 것만 모아둔 곳 있어요?.	주방/식기
doc_0051	키친타월 (A)	키친타월 상품입니다. 관련 키워드: 키친타월 주방 타월 주방용품 청소. 고객 질문 예시: 기름 닦는 키친타월은 휴지 쪽에 있나요, 주방 쪽에 있나요?.	주방/식기
doc_0052	키친타월 (B)	키친타월 상품입니다. 관련 키워드: 키친타월 주방 타월 주방용품 청소. 고객 질문 예시: 기름 닦는 키친타월은 휴지 쪽에 있나요, 주방 쪽에 있나요?.	주방/식기
doc_0053	텀블러 솔 (A)	텀블러 솔 상품입니다. 관련 키워드: 텀블러 솔 텀블러 솔 청소용품 주방용품 세척솔. 고객 질문 예시: 텀블러 닦는 긴 솔 찾아요..	주방/식기
doc_0054	텀블러 솔 (B)	텀블러 솔 상품입니다. 관련 키워드: 텀블러 솔 텀블러 솔 청소용품 주방용품 세척솔. 고객 질문 예시: 텀블러 닦는 긴 솔 찾아요..	주방/식기
doc_0055	음식물 쓰레기 봉투 (A)	음식물 쓰레기 봉투 상품입니다. 관련 키워드: 음식물 쓰레기 봉투 음식물 쓰레기 봉투 봉투 주방 주방용품 쓰레기 처리. 고객 질문 예시: 음식물 쓰레기 봉투도 파나요?.	문구/사무
doc_0056	음식물 쓰레기 봉투 (B)	음식물 쓰레기 봉투 상품입니다. 관련 키워드: 음식물 쓰레기 봉투 음식물 쓰레기 봉투 봉투 주방 주방용품 쓰레기 처리. 고객 질문 예시: 음식물 쓰레기 봉투도 파나요?.	문구/사무
doc_0057	인덕션 상판 세제 (A)	인덕션 상판 세제 상품입니다. 관련 키워드: 인덕션 상판 세제 인덕션 상판 세제 세제 주방 주방용품 청소. 고객 질문 예시: 인덕션 상판 닦는 전용 세제 있나요?.	주방/식기
doc_0058	인덕션 상판 세제 (B)	인덕션 상판 세제 상품입니다. 관련 키워드: 인덕션 상판 세제 인덕션 상판 세제 세제 주방 주방용품 청소. 고객 질문 예시: 인덕션 상판 닦는 전용 세제 있나요?.	주방/식기
doc_0059	베이킹소다 (A)	베이킹소다 상품입니다. 관련 키워드: 베이킹소다 주방 세제 청소용품 다용도 탈취 세척. 고객 질문 예시: 과일 씻을 때 쓰는 베이킹소다는 어디 있어요?.	주방/식기
doc_0060	베이킹소다 (B)	베이킹소다 상품입니다. 관련 키워드: 베이킹소다 주방 세제 청소용품 다용도 탈취 세척. 고객 질문 예시: 과일 씻을 때 쓰는 베이킹소다는 어디 있어요?.	주방/식기
doc_0061	에어캡 (A)	에어캡 상품입니다. 관련 키워드: 에어캡 포장 포장재 생활용품 완충재 보호재. 고객 질문 예시: 뽁뽁이(에어캡) 롤로 말려 있는 거 있어요?.	기타
doc_0062	에어캡 (B)	에어캡 상품입니다. 관련 키워드: 에어캡 포장 포장재 생활용품 완충재 보호재. 고객 질문 예시: 뽁뽁이(에어캡) 롤로 말려 있는 거 있어요?.	기타
doc_0063	박스 테이프 (A)	박스 테이프 상품입니다. 관련 키워드: 박스 테이프 테이프 포장용품 접착. 고객 질문 예시: 택배 보낼 때 쓰는 박스 테이프 투명한 거요..	문구/사무
doc_0064	박스 테이프 (B)	박스 테이프 상품입니다. 관련 키워드: 박스 테이프 테이프 포장용품 접착. 고객 질문 예시: 택배 보낼 때 쓰는 박스 테이프 투명한 거요..	문구/사무
doc_0065	다이어리 스티커 (A)	다이어리 스티커 상품입니다. 관련 키워드: 다이어리 스티커 다이어리 스티커 문구 꾸미기 장식. 고객 질문 예시: 다이어리 꾸미는 스티커 모아둔 매대는 어디예요?.	문구/사무
doc_0066	다이어리 스티커 (B)	다이어리 스티커 상품입니다. 관련 키워드: 다이어리 스티커 다이어리 스티커 문구 꾸미기 장식. 고객 질문 예시: 다이어리 꾸미는 스티커 모아둔 매대는 어디예요?.	문구/사무
doc_0067	화이트보드 마카 (A)	화이트보드 마카 상품입니다. 관련 키워드: 화이트보드 마카 화이트보드 마카 문구 사무용품 필기구. 고객 질문 예시: 화이트보드 마카랑 지우개 세트로 된 거 있나요?.	문구/사무
doc_0068	화이트보드 마카 (B)	화이트보드 마카 상품입니다. 관련 키워드: 화이트보드 마카 화이트보드 마카 문구 사무용품 필기구. 고객 질문 예시: 화이트보드 마카랑 지우개 세트로 된 거 있나요?.	문구/사무
doc_0069	제본 링 (A)	제본 링 상품입니다. 관련 키워드: 제본 링 링 문구 사무용품 제본. 고객 질문 예시: 제본할 때 쓰는 링 같은 거 파나요?.	문구/사무
doc_0070	제본 링 (B)	제본 링 상품입니다. 관련 키워드: 제본 링 링 문구 사무용품 제본. 고객 질문 예시: 제본할 때 쓰는 링 같은 거 파나요?.	문구/사무
doc_0071	축의금 봉투 (A)	축의금 봉투 상품입니다. 관련 키워드: 축의금 봉투 봉투 문구 선물용품 축하. 고객 질문 예시: 축의금 봉투 글씨 안 쓰여 있는 걸로 찾는데요..	문구/사무
doc_0072	축의금 봉투 (B)	축의금 봉투 상품입니다. 관련 키워드: 축의금 봉투 봉투 문구 선물용품 축하. 고객 질문 예시: 축의금 봉투 글씨 안 쓰여 있는 걸로 찾는데요..	문구/사무
doc_0073	네임펜 (A)	네임펜 상품입니다. 관련 키워드: 네임펜 펜 문구 사무용품 필기구. 고객 질문 예시: 네임펜 얇은 거 말고 굵은 거는요?.	문구/사무
doc_0074	네임펜 (B)	네임펜 상품입니다. 관련 키워드: 네임펜 펜 문구 사무용품 필기구. 고객 질문 예시: 네임펜 얇은 거 말고 굵은 거는요?.	문구/사무
doc_0075	가위 (A)	가위 상품입니다. 관련 키워드: 가위 문구 사무용품 학용품 절삭도구. 고객 질문 예시: 가위가 잘 안 드는데 여기서 제일 잘 드는 가위 추천해 주세요..	문구/사무
doc_0076	가위 (B)	가위 상품입니다. 관련 키워드: 가위 문구 사무용품 학용품 절삭도구. 고객 질문 예시: 가위가 잘 안 드는데 여기서 제일 잘 드는 가위 추천해 주세요..	문구/사무
doc_0077	자석 (A)	자석 상품입니다. 관련 키워드: 자석 다용도 문구 사무용품 고정. 고객 질문 예시: 초강력 자석 있나요?.	문구/사무
doc_0078	자석 (B)	자석 상품입니다. 관련 키워드: 자석 다용도 문구 사무용품 고정. 고객 질문 예시: 초강력 자석 있나요?.	문구/사무
doc_0079	파일꽂이 (A)	파일꽂이 상품입니다. 관련 키워드: 파일꽂이 사무실 꽂이 문구 정리 수납. 고객 질문 예시: 서류 정리하는 파일 꽂이 투명한 색깔 있어요?.	수납/정리
doc_0080	파일꽂이 (B)	파일꽂이 상품입니다. 관련 키워드: 파일꽂이 사무실 꽂이 문구 정리 수납. 고객 질문 예시: 서류 정리하는 파일 꽂이 투명한 색깔 있어요?.	수납/정리
doc_0081	헤어롤 (A)	헤어롤 상품입니다. 관련 키워드: 헤어롤 헤어 롤 미용 헤어 스타일링. 고객 질문 예시: 앞머리 롤(헤어롤) 제일 큰 사이즈 어디 있어요?.	뷰티/위생
doc_0082	헤어롤 (B)	헤어롤 상품입니다. 관련 키워드: 헤어롤 헤어 롤 미용 헤어 스타일링. 고객 질문 예시: 앞머리 롤(헤어롤) 제일 큰 사이즈 어디 있어요?.	뷰티/위생
doc_0083	화장 퍼프 (A)	화장 퍼프 상품입니다. 관련 키워드: 화장 퍼프 퍼프 화장 미용소품 화장품. 고객 질문 예시: 화장 퍼프 대용량으로 든 거 찾아요..	뷰티/위생
doc_0084	화장 퍼프 (B)	화장 퍼프 상품입니다. 관련 키워드: 화장 퍼프 퍼프 화장 미용소품 화장품. 고객 질문 예시: 화장 퍼프 대용량으로 든 거 찾아요..	뷰티/위생
doc_0085	젤 네일 램프 (A)	젤 네일 램프 상품입니다. 관련 키워드: 젤 네일 램프 네일 램프 램프 미용 네일 젤네일 LED. 고객 질문 예시: 젤 네일 굽는 램프도 파나요?.	뷰티/위생
doc_0086	젤 네일 램프 (B)	젤 네일 램프 상품입니다. 관련 키워드: 젤 네일 램프 네일 램프 램프 미용 네일 젤네일 LED. 고객 질문 예시: 젤 네일 굽는 램프도 파나요?.	뷰티/위생
doc_0087	머리끈 (A)	머리끈 상품입니다. 관련 키워드: 머리끈 헤어 끈 액세서리 머리. 고객 질문 예시: 머리끈 검은색 고무줄만 들어있는 거요..	뷰티/위생
doc_0088	머리끈 (B)	머리끈 상품입니다. 관련 키워드: 머리끈 헤어 끈 액세서리 머리. 고객 질문 예시: 머리끈 검은색 고무줄만 들어있는 거요..	뷰티/위생
doc_0089	여행용 샴푸/린스 키트 (A)	여행용 샴푸/린스 키트 상품입니다. 관련 키워드: 여행용 샴푸/린스 키트 여행 샴푸/린스 키트 세트 여행용품 휴대용. 고객 질문 예시: 여행용 샴푸/린스 키트 있나요?.	뷰티/위생
doc_0090	여행용 샴푸/린스 키트 (B)	여행용 샴푸/린스 키트 상품입니다. 관련 키워드: 여행용 샴푸/린스 키트 여행 샴푸/린스 키트 세트 여행용품 휴대용. 고객 질문 예시: 여행용 샴푸/린스 키트 있나요?.	뷰티/위생
doc_0091	여드름 패치 (A)	여드름 패치 상품입니다. 관련 키워드: 여드름 패치 피부 패치 미용 피부관리. 고객 질문 예시: 여드름 났을 때 붙이는 패치 어디 있죠?.	뷰티/위생
doc_0092	여드름 패치 (B)	여드름 패치 상품입니다. 관련 키워드: 여드름 패치 피부 패치 미용 피부관리. 고객 질문 예시: 여드름 났을 때 붙이는 패치 어디 있죠?.	뷰티/위생
doc_0093	발 각질 제거기 (A)	발 각질 제거기 상품입니다. 관련 키워드: 발 각질 제거기 발 각질 제거기 미용 바디 각질 제거. 고객 질문 예시: 발 뒤꿈치 각질 제거하는 돌 같은 거요..	뷰티/위생
doc_0094	발 각질 제거기 (B)	발 각질 제거기 상품입니다. 관련 키워드: 발 각질 제거기 발 각질 제거기 미용 바디 각질 제거. 고객 질문 예시: 발 뒤꿈치 각질 제거하는 돌 같은 거요..	뷰티/위생
doc_0095	손거울 (A)	손거울 상품입니다. 관련 키워드: 손거울 거울 미용 휴대용. 고객 질문 예시: 손거울 탁상용으로 세울 수 있는 거 찾아요..	뷰티/위생
doc_0096	손거울 (B)	손거울 상품입니다. 관련 키워드: 손거울 거울 미용 휴대용. 고객 질문 예시: 손거울 탁상용으로 세울 수 있는 거 찾아요..	뷰티/위생
doc_0097	왁스 (A)	왁스 상품입니다. 관련 키워드: 왁스 광택제 청소용품 생활용품 광택. 고객 질문 예시: 남자들 쓰는 왁스나 스프레이도 있나요?.	뷰티/위생
doc_0098	왁스 (B)	왁스 상품입니다. 관련 키워드: 왁스 광택제 청소용품 생활용품 광택. 고객 질문 예시: 남자들 쓰는 왁스나 스프레이도 있나요?.	뷰티/위생
doc_0099	속눈썹 뷰러 고무 리필 (A)	속눈썹 뷰러 고무 리필 상품입니다. 관련 키워드: 속눈썹 뷰러 고무 리필 속눈썹 뷰러 리필 뷰러 리필 리필 미용 메이크업 속눈썹 뷰티. 고객 질문 예시: 속눈썹 뷰러 고무 리필만 따로 파나요?.	뷰티/위생
doc_0100	속눈썹 뷰러 고무 리필 (B)	속눈썹 뷰러 고무 리필 상품입니다. 관련 키워드: 속눈썹 뷰러 고무 리필 속눈썹 뷰러 리필 뷰러 리필 리필 미용 메이크업 속눈썹 뷰티. 고객 질문 예시: 속눈썹 뷰러 고무 리필만 따로 파나요?.	뷰티/위생
doc_0101	자전거 자물쇠 (A)	자전거 자물쇠 상품입니다. 관련 키워드: 자전거 자물쇠 자전거 자물쇠 보안용품 도난방지. 고객 질문 예시: 자전거 자물쇠 비밀번호 설정되는 거요..	스포츠/레저
doc_0102	자전거 자물쇠 (B)	자전거 자물쇠 상품입니다. 관련 키워드: 자전거 자물쇠 자전거 자물쇠 보안용품 도난방지. 고객 질문 예시: 자전거 자물쇠 비밀번호 설정되는 거요..	스포츠/레저
doc_0103	차량용 핸드폰 거치대 (A)	차량용 핸드폰 거치대 상품입니다. 관련 키워드: 차량용 핸드폰 거치대 차량용 거치대 핸드폰 거치대 거치대 차량 핸드폰 디지털 차량용품 핸드폰 용품. 고객 질문 예시: 차량용 핸드폰 거치대 송풍구에 끼우는 거 있나요?.	전자/디지털
doc_0104	차량용 핸드폰 거치대 (B)	차량용 핸드폰 거치대 상품입니다. 관련 키워드: 차량용 핸드폰 거치대 차량용 거치대 핸드폰 거치대 거치대 차량 핸드폰 디지털 차량용품 핸드폰 용품. 고객 질문 예시: 차량용 핸드폰 거치대 송풍구에 끼우는 거 있나요?.	전자/디지털
doc_0105	숯 그릴 (A)	숯 그릴 상품입니다. 관련 키워드: 숯 그릴 그릴 캠핑 주방용품 바베큐. 고객 질문 예시: 캠핑 갈 때 쓸 일회용 숯이나 그릴 파나요?.	스포츠/레저
doc_0106	숯 그릴 (B)	숯 그릴 상품입니다. 관련 키워드: 숯 그릴 그릴 캠핑 주방용품 바베큐. 고객 질문 예시: 캠핑 갈 때 쓸 일회용 숯이나 그릴 파나요?.	스포츠/레저
doc_0107	드라이버 세트 (A)	드라이버 세트 상품입니다. 관련 키워드: 드라이버 세트 드라이버 세트 공구 다용도 수리 DIY. 고객 질문 예시: 드라이버 세트 정밀 드라이버 포함된 거요..	공구/DIY
doc_0108	드라이버 세트 (B)	드라이버 세트 상품입니다. 관련 키워드: 드라이버 세트 드라이버 세트 공구 다용도 수리 DIY. 고객 질문 예시: 드라이버 세트 정밀 드라이버 포함된 거요..	공구/DIY
doc_0109	실리콘 코킹건 (A)	실리콘 코킹건 상품입니다. 관련 키워드: 실리콘 코킹건 코킹건 건 공구 실리콘 접착제 DIY. 고객 질문 예시: 실리콘 쏘는 총(코킹건)이랑 실리콘 어디 있어요?.	공구/DIY
doc_0110	실리콘 코킹건 (B)	실리콘 코킹건 상품입니다. 관련 키워드: 실리콘 코킹건 코킹건 건 공구 실리콘 접착제 DIY. 고객 질문 예시: 실리콘 쏘는 총(코킹건)이랑 실리콘 어디 있어요?.	공구/DIY
doc_0111	낚시용품 (A)	낚시용품 상품입니다. 관련 키워드: 낚시용품 낚시 용품 취미 야외 레저. 고객 질문 예시: 낚시용품 코너가 따로 있나요?.	스포츠/레저
doc_0112	낚시용품 (B)	낚시용품 상품입니다. 관련 키워드: 낚시용품 낚시 용품 취미 야외 레저. 고객 질문 예시: 낚시용품 코너가 따로 있나요?.	스포츠/레저
doc_0113	뜨개질 실 (A)	뜨개질 실 상품입니다. 관련 키워드: 뜨개질 실 실 취미용품 DIY 털실. 고객 질문 예시: 뜨개질 실이랑 바늘 찾는 중인데요..	기타
doc_0114	뜨개질 실 (B)	뜨개질 실 상품입니다. 관련 키워드: 뜨개질 실 실 취미용품 DIY 털실. 고객 질문 예시: 뜨개질 실이랑 바늘 찾는 중인데요..	기타
doc_0115	화분 영양제 (A)	화분 영양제 상품입니다. 관련 키워드: 화분 영양제 화분 영양제 원예 식물 영양. 고객 질문 예시: 화분에 꽂는 영양제 초록색 그거요..	원예
doc_0116	화분 영양제 (B)	화분 영양제 상품입니다. 관련 키워드: 화분 영양제 화분 영양제 원예 식물 영양. 고객 질문 예시: 화분에 꽂는 영양제 초록색 그거요..	원예
doc_0117	페인트 붓 롤러 (A)	페인트 붓 롤러 상품입니다. 관련 키워드: 페인트 붓 롤러 페인트 붓 롤러 롤러 페인트 용품 DIY 페인트칠. 고객 질문 예시: 페인트 붓이랑 롤러 작은 사이즈 있나요?.	공구/DIY
doc_0118	페인트 붓 롤러 (B)	페인트 붓 롤러 상품입니다. 관련 키워드: 페인트 붓 롤러 페인트 붓 롤러 롤러 페인트 용품 DIY 페인트칠. 고객 질문 예시: 페인트 붓이랑 롤러 작은 사이즈 있나요?.	공구/DIY
doc_0119	컴파운드 (A)	컴파운드 상품입니다. 관련 키워드: 컴파운드 자동차 광택제 차량용품 흠집제거 연마제. 고객 질문 예시: 차 긁힌 데 바르는 컴파운드 같은 거 파나요?.	차량
doc_0120	컴파운드 (B)	컴파운드 상품입니다. 관련 키워드: 컴파운드 자동차 광택제 차량용품 흠집제거 연마제. 고객 질문 예시: 차 긁힌 데 바르는 컴파운드 같은 거 파나요?.	차량
doc_0121	숫자 풍선 (A)	숫자 풍선 상품입니다. 관련 키워드: 숫자 풍선 풍선 파티용품 장식 생일 기념일. 고객 질문 예시: 생일 파티 풍선 중에 숫자 풍선 있어요?.	기타
doc_0122	숫자 풍선 (B)	숫자 풍선 상품입니다. 관련 키워드: 숫자 풍선 풍선 파티용품 장식 생일 기념일. 고객 질문 예시: 생일 파티 풍선 중에 숫자 풍선 있어요?.	기타
